"filename", "language", "TypeScript", "HTML", "SCSS", "comment", "blank", "total"
"d:\AngularProject\Polerace\src\app\Platform\home\components\terms\terms.component.spec.ts", "TypeScript", 20, 0, 0, 0, 6, 26
"d:\AngularProject\Polerace\src\app\Platform\home\components\terms\terms.component.ts", "TypeScript", 18, 0, 0, 0, 3, 21
"d:\AngularProject\Polerace\src\app\Platform\home\components\topics\topics.component.html", "HTML", 0, 29, 0, 3, 14, 46
"d:\AngularProject\Polerace\src\app\Platform\home\components\topics\topics.component.scss", "SCSS", 0, 0, 0, 0, 1, 1
"d:\AngularProject\Polerace\src\app\Platform\home\components\topics\topics.component.spec.ts", "TypeScript", 20, 0, 0, 0, 6, 26
"d:\AngularProject\Polerace\src\app\Platform\home\components\topics\topics.component.ts", "TypeScript", 18, 0, 0, 0, 3, 21
"d:\AngularProject\Polerace\src\app\Platform\home\home-routing.module.ts", "TypeScript", 112, 0, 0, 0, 6, 118
"d:\AngularProject\Polerace\src\app\Platform\home\home.module.ts", "TypeScript", 38, 0, 0, 0, 4, 42
"d:\AngularProject\Polerace\src\app\Platform\inventory\components\Brands\add-brand.component.html", "HTML", 0, 58, 0, 0, 2, 60
"d:\AngularProject\Polerace\src\app\Platform\inventory\components\Brands\add-brand.component.scss", "SCSS", 0, 0, 17, 0, 1, 18
"d:\AngularProject\Polerace\src\app\Platform\inventory\components\Brands\add-brand.component.ts", "TypeScript", 85, 0, 0, 2, 20, 107
"d:\AngularProject\Polerace\src\app\Platform\inventory\components\add-category\add-category.component.html", "HTML", 0, 84, 0, 5, 3, 92
"d:\AngularProject\Polerace\src\app\Platform\inventory\components\add-category\add-category.component.scss", "SCSS", 0, 0, 66, 2, 19, 87
"d:\AngularProject\Polerace\src\app\Platform\inventory\components\add-category\add-category.component.ts", "TypeScript", 148, 0, 0, 4, 25, 177
"d:\AngularProject\Polerace\src\app\Platform\inventory\components\add-product-via-excel\add-product-via-excel.component.html", "HTML", 0, 111, 0, 3, 6, 120
"d:\AngularProject\Polerace\src\app\Platform\inventory\components\add-product-via-excel\add-product-via-excel.component.scss", "SCSS", 0, 0, 17, 0, 1, 18
"d:\AngularProject\Polerace\src\app\Platform\inventory\components\add-product-via-excel\add-product-via-excel.component.ts", "TypeScript", 83, 0, 0, 0, 12, 95
"d:\AngularProject\Polerace\src\app\Platform\inventory\components\add-product\add-product.component.html", "HTML", 0, 1920, 0, 245, 73, 2238
"d:\AngularProject\Polerace\src\app\Platform\inventory\components\add-product\add-product.component.scss", "SCSS", 0, 0, 165, 4, 33, 202
"d:\AngularProject\Polerace\src\app\Platform\inventory\components\add-product\add-product.component.spec.ts", "TypeScript", 20, 0, 0, 0, 6, 26
"d:\AngularProject\Polerace\src\app\Platform\inventory\components\add-product\add-product.component.ts", "TypeScript", 560, 0, 0, 13, 41, 614
"d:\AngularProject\Polerace\src\app\Platform\inventory\components\add-subcategory\add-subcategory.component.html", "HTML", 0, 141, 0, 5, 9, 155
"d:\AngularProject\Polerace\src\app\Platform\inventory\components\add-subcategory\add-subcategory.component.scss", "SCSS", 0, 0, 62, 2, 16, 80
"d:\AngularProject\Polerace\src\app\Platform\inventory\components\add-subcategory\add-subcategory.component.spec.ts", "TypeScript", 20, 0, 0, 0, 6, 26
"d:\AngularProject\Polerace\src\app\Platform\inventory\components\add-subcategory\add-subcategory.component.ts", "TypeScript", 174, 0, 0, 3, 15, 192
"d:\AngularProject\Polerace\src\app\Platform\inventory\components\brands-listing\brands-listing.component.html", "HTML", 0, 58, 0, 13, 15, 86
"d:\AngularProject\Polerace\src\app\Platform\inventory\components\brands-listing\brands-listing.component.scss", "SCSS", 0, 0, 13, 0, 2, 15
"d:\AngularProject\Polerace\src\app\Platform\inventory\components\brands-listing\brands-listing.component.ts", "TypeScript", 116, 0, 0, 3, 10, 129
"d:\AngularProject\Polerace\src\app\Platform\inventory\components\category-listing\category-listing.component.html", "HTML", 0, 84, 0, 0, 15, 99
"d:\AngularProject\Polerace\src\app\Platform\inventory\components\category-listing\category-listing.component.scss", "SCSS", 0, 0, 0, 0, 1, 1
"d:\AngularProject\Polerace\src\app\Platform\inventory\components\category-listing\category-listing.component.ts", "TypeScript", 86, 0, 0, 3, 17, 106
"d:\AngularProject\Polerace\src\app\Platform\inventory\components\categorylisting\categorylisting.component.html", "HTML", 0, 169, 0, 7, 6, 182
"d:\AngularProject\Polerace\src\app\Platform\inventory\components\categorylisting\categorylisting.component.scss", "SCSS", 0, 0, 160, 6, 38, 204
"d:\AngularProject\Polerace\src\app\Platform\inventory\components\categorylisting\categorylisting.component.spec.ts", "TypeScript", 20, 0, 0, 0, 6, 26
"d:\AngularProject\Polerace\src\app\Platform\inventory\components\categorylisting\categorylisting.component.ts", "TypeScript", 194, 0, 0, 1, 15, 210
"d:\AngularProject\Polerace\src\app\Platform\inventory\components\custom-attribute\custom-attribute.component.html", "HTML", 0, 56, 0, 12, 0, 68
